Tue Mar 16 09:46:12 2021, failed_to_connect_to_the_match
Tue Mar 16 09:46:14 2021, failed_to_connect_to_the_match
Tue Mar 16 09:46:34 2021, failed_to_connect_to_the_match
Tue Mar 16 09:46:36 2021, failed_to_connect_to_the_match
Tue Mar 16 12:36:20 2021, steam_is_required_to_join_a_game
Wed Mar 17 05:04:18 2021, steam_is_required_to_join_a_game
Thu Mar 18 07:29:42 2021, steam_is_required_to_join_a_game
Thu Mar 18 18:13:19 2021, failed_to_connect_to_the_match
Thu Mar 18 18:13:20 2021, failed_to_connect_to_the_match
Fri Mar 19 10:53:29 2021, the_remote_host_stopped_receiving_communications
Fri Mar 19 13:42:55 2021, failed_to_connect_to_the_match
Fri Mar 19 13:42:56 2021, failed_to_connect_to_the_match
Fri Mar 19 13:42:57 2021, failed_to_connect_to_the_match
Fri Mar 19 18:13:44 2021, steam_is_required_to_join_a_game
Fri Mar 19 18:13:45 2021, steam_is_required_to_join_a_game
Fri Mar 19 18:13:45 2021, steam_is_required_to_join_a_game
Fri Mar 19 18:13:46 2021, steam_is_required_to_join_a_game
Sat Mar 20 02:06:37 2021, steam_validation_rejected
Sat Mar 20 02:06:38 2021, steam_validation_rejected
Sun Mar 21 19:27:54 2021, steam_is_required_to_join_a_game
Tue Mar 23 11:50:02 2021, the_remote_host_stopped_receiving_communications
Wed Mar 24 04:44:37 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:37 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:38 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:39 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:39 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:40 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:41 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:41 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:42 2021, steam_is_required_to_join_a_game
Wed Mar 24 04:44:43 2021, steam_is_required_to_join_a_game
Wed Mar 24 23:35:38 2021, steam_is_required_to_join_a_game
Wed Mar 24 23:35:39 2021, steam_is_required_to_join_a_game
Wed Mar 24 23:35:40 2021, steam_is_required_to_join_a_game
Thu Mar 25 19:24:45 2021, failed_to_connect_to_the_match
Thu Mar 25 19:24:46 2021, failed_to_connect_to_the_match
Thu Mar 25 19:24:47 2021, failed_to_connect_to_the_match
Sun Mar 28 23:10:02 2021, steam_is_required_to_join_a_game
Sun Mar 28 23:10:02 2021, steam_is_required_to_join_a_game
Sun Mar 28 23:10:03 2021, steam_is_required_to_join_a_game
Sun Mar 28 23:10:04 2021, steam_is_required_to_join_a_game
Sun Mar 28 23:10:05 2021, steam_is_required_to_join_a_game
Sun Mar 28 23:10:06 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:41 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:42 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:43 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:43 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:44 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:45 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:45 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:46 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:47 2021, steam_is_required_to_join_a_game
Wed Mar 31 04:52:47 2021, steam_is_required_to_join_a_game
Thu Apr  1 10:35:26 2021, failed_to_connect_to_the_match
Fri Apr  2 00:27:28 2021, steam_is_required_to_join_a_game
Fri Apr  2 15:45:00 2021, lost_connection_geographical
Fri Apr  2 15:45:01 2021, lost_connection_geographical
Fri Apr  2 15:45:02 2021, lost_connection_geographical
Fri Apr  2 15:45:04 2021, lost_connection_geographical
Fri Apr  2 15:45:05 2021, lost_connection_geographical
Fri Apr  2 15:45:13 2021, lost_connection_geographical
Fri Apr  2 15:45:15 2021, lost_connection_geographical
Fri Apr  2 15:45:17 2021, lost_connection_geographical
Fri Apr  2 15:45:19 2021, lost_connection_geographical
Fri Apr  2 15:45:21 2021, lost_connection_geographical
Sat Apr  3 02:11:54 2021, failed_to_create_session
Sat Apr  3 02:11:56 2021, failed_to_create_session
Sat Apr  3 02:11:57 2021, failed_to_create_session
Sat Apr  3 02:11:59 2021, failed_to_create_session
Sat Apr  3 02:12:00 2021, steam_is_required_to_join_a_game
Thu Apr  8 04:22:17 2021, steam_is_required_to_join_a_game
Thu Apr  8 04:22:18 2021, steam_is_required_to_join_a_game
Thu Apr  8 04:22:20 2021, steam_is_required_to_join_a_game
Thu Apr  8 17:02:59 2021, pure_server
Thu Apr  8 17:03:01 2021, pure_server
Sat Apr 10 21:23:02 2021, invalid_signature_vac_error
Sat Apr 10 21:25:05 2021, invalid_signature_vac_error
Sun Apr 11 10:10:24 2021, failed_to_connect_to_the_match
Sun Apr 11 10:10:44 2021, failed_to_connect_to_the_match
Mon Apr 12 14:05:43 2021, failed_to_connect_to_the_match
